"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Male Population:","Male Population: Under 18 Years","Male Population: 18 to 34 Years","Male Population: 35 to 64 Years","Male Population: 65 and Over","Female Population:","Female Population: Under 18 Years","Female Population: 18 to 34 Years","Female Population: 35 to 64 Years","Female Population: 65 and Over","Median Age:","Median Age: Male Population","Median Age: Female Population"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003
"09003501400","14000US09003501400","Census Tract 5014, Hartford County, Connecticut","Census Tract 5014, Hartford County, Connecticut","ct","140","00","ACSSF","0000846",,,,,"09","003",,,,"501400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823,2823,19760.86,0.142858190848761,2823,215,331,290,114,251,449,219,343,189,228,123,71,1313,548,334,245,186,1510,402,366,506,236,28.8,23.8,34.2
"09003501500","14000US09003501500","Census Tract 5015, Hartford County, Connecticut","Census Tract 5015, Hartford County, Connecticut","ct","140","00","ACSSF","0000847",,,,,"09","003",,,,"501500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,3718,5380.583,0.691003201559235,3718,322,372,286,141,418,533,405,356,402,194,190,99,1845,680,445,561,159,1873,441,506,602,324,31.1,25,34.7
"09003501700","14000US09003501700","Census Tract 5017, Hartford County, Connecticut","Census Tract 5017, Hartford County, Connecticut","ct","140","00","ACSSF","0000848",,,,,"09","003",,,,"501700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1495,13010.9,0.114903621175079,1495,113,179,149,84,190,283,145,154,96,85,17,0,723,261,233,193,36,772,264,240,202,66,26,27.3,25.8
"09003501800","14000US09003501800","Census Tract 5018, Hartford County, Connecticut","Census Tract 5018, Hartford County, Connecticut","ct","140","00","ACSSF","0000849",,,,,"09","003",,,,"501800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2757,2757,13921.11,0.198044546924542,2757,323,269,230,216,285,378,322,326,194,139,70,5,1191,523,278,306,84,1566,515,385,536,130,26.2,20.6,30.3
"09003502100","14000US09003502100","Census Tract 5021, Hartford County, Connecticut","Census Tract 5021, Hartford County, Connecticut","ct","140","00","ACSSF","0000850",,,,,"09","003",,,,"502100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2001,2253.858,0.887811063217281,2001,26,10,3,0,199,792,234,298,214,84,126,15,1038,28,463,423,124,963,11,528,323,101,34.4,37.9,31
"09003502300","14000US09003502300","Census Tract 5023, Hartford County, Connecticut","Census Tract 5023, Hartford County, Connecticut","ct","140","00","ACSSF","0000851",,,,,"09","003",,,,"502300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072,6072,9110.984,0.666448261536347,6072,503,351,434,343,695,799,931,754,615,379,137,131,2845,651,749,1222,223,3227,980,745,1078,424,34.2,35.2,32.9
"09003502400","14000US09003502400","Census Tract 5024, Hartford County, Connecticut","Census Tract 5024, Hartford County, Connecticut","ct","140","00","ACSSF","0000852",,,,,"09","003",,,,"502400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6606,6606,23339.75,0.28303644650091,6606,696,483,279,348,1138,1123,923,730,542,231,76,37,3465,1048,1419,908,90,3141,758,842,1287,254,27,24.5,32.8
"09003502500","14000US09003502500","Census Tract 5025, Hartford County, Connecticut","Census Tract 5025, Hartford County, Connecticut","ct","140","00","ACSSF","0000853",,,,,"09","003",,,,"502500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1912,914.3432,2.09111856888912,1912,215,196,89,93,186,354,273,195,157,72,68,14,881,238,288,298,57,1031,355,252,327,97,30.7,31.4,30.1
"09003502600","14000US09003502600","Census Tract 5026, Hartford County, Connecticut","Census Tract 5026, Hartford County, Connecticut","ct","140","00","ACSSF","0000854",,,,,"09","003",,,,"502600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3916,3916,18549.99,0.211105225197955,3916,230,346,335,261,428,558,565,556,321,236,44,36,1837,678,390,650,119,2079,494,596,792,197,28.7,26.6,31.3
"09003502700","14000US09003502700","Census Tract 5027, Hartford County, Connecticut","Census Tract 5027, Hartford County, Connecticut","ct","140","00","ACSSF","0000855",,,,,"09","003",,,,"502700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080,5080,14572.28,0.348607020573068,5080,233,119,169,166,2471,448,252,485,374,221,77,65,2478,318,1450,571,139,2602,369,1469,540,224,21.3,21.4,21.1
